Geneid,wt_CON,wt_DOX
ENSMUSG00000055452,94,30
ENSMUSG00000055456,0,0
ENSMUSG00000055480,145,123
ENSMUSG00000055485,2163,2315
ENSMUSG00000055489,0,0
ENSMUSG00000055491,1935,1781
ENSMUSG00000055493,234,80
ENSMUSG00000055494,38,26
ENSMUSG00000055497,0,7
ENSMUSG00000055515,0,0
ENSMUSG00000055523,8,3
ENSMUSG00000055531,3765,2928
ENSMUSG00000055538,1394,973
ENSMUSG00000055540,0,0
ENSMUSG00000055541,15088,6283
ENSMUSG00000055546,0,0
ENSMUSG00000055547,0,0
ENSMUSG00000055553,2102,1401
ENSMUSG00000055560,34,37
ENSMUSG00000055561,0,0
ENSMUSG00000055567,2,1
ENSMUSG00000055571,0,0
ENSMUSG00000055594,0,0
ENSMUSG00000055602,35,2
ENSMUSG00000055609,0,0
ENSMUSG00000055610,0,0
ENSMUSG00000055612,73,96
ENSMUSG00000055621,0,0
ENSMUSG00000055629,0,0
ENSMUSG00000055632,26,53
ENSMUSG00000055633,49,48
ENSMUSG00000055639,106,66
ENSMUSG00000055643,0,0
ENSMUSG00000055652,656,535
ENSMUSG00000055653,4,0
ENSMUSG00000055660,1343,704
ENSMUSG00000055670,4133,3484
ENSMUSG00000055675,12,22
ENSMUSG00000055676,0,0
ENSMUSG00000055679,0,0
ENSMUSG00000055681,4136,2361
ENSMUSG00000055692,42,34
ENSMUSG00000055704,4,5
ENSMUSG00000055707,817,1383
ENSMUSG00000055717,2,1
ENSMUSG00000055720,2398,1761
ENSMUSG00000055723,54,100
ENSMUSG00000055725,194,127
ENSMUSG00000055730,0,1
ENSMUSG00000055732,0,0
ENSMUSG00000055733,4,8
ENSMUSG00000055737,28,103
ENSMUSG00000055745,292,144
ENSMUSG00000055748,8,11
ENSMUSG00000055760,211,198
ENSMUSG00000055761,0,0
ENSMUSG00000055762,4243,3108
ENSMUSG00000055763,12,6
ENSMUSG00000055775,0,0
ENSMUSG00000055782,2534,416
ENSMUSG00000055795,4,8
ENSMUSG00000055799,2,4
ENSMUSG00000055805,7055,1975
ENSMUSG00000055809,408,187
ENSMUSG00000055817,2195,1360
ENSMUSG00000055818,138,72
ENSMUSG00000055820,0,0
ENSMUSG00000055826,0,4
ENSMUSG00000055833,28,6
ENSMUSG00000055835,365,262
ENSMUSG00000055838,0,0
ENSMUSG00000055839,3592,2128
ENSMUSG00000055850,3687,3219
ENSMUSG00000055862,176,187
ENSMUSG00000055865,4,5
ENSMUSG00000055866,175,195
ENSMUSG00000055874,0,0
ENSMUSG00000055882,4,0
ENSMUSG00000055884,321,285
ENSMUSG00000055891,0,0
ENSMUSG00000055897,2,0
ENSMUSG00000055900,609,378
ENSMUSG00000055912,307,384
ENSMUSG00000055917,1722,724
ENSMUSG00000055923,809,452
ENSMUSG00000055926,69,20
ENSMUSG00000055932,2654,1276
ENSMUSG00000055937,0,0
ENSMUSG00000055942,0,0
ENSMUSG00000055943,4329,6148
ENSMUSG00000055944,0,0
ENSMUSG00000055945,16,14
ENSMUSG00000055960,0,0
ENSMUSG00000055961,0,0
ENSMUSG00000055963,22,47
ENSMUSG00000055971,0,0
ENSMUSG00000055972,0,2
ENSMUSG00000055976,12,26
ENSMUSG00000055978,0,6
ENSMUSG00000055980,10,42
ENSMUSG00000055991,620,432
ENSMUSG00000055994,503,242
ENSMUSG00000056004,130,48
ENSMUSG00000056008,6,25
ENSMUSG00000056014,336,216
ENSMUSG00000056018,0,0
ENSMUSG00000056019,1097,1213
ENSMUSG00000056023,0,0
ENSMUSG00000056025,0,8
ENSMUSG00000056031,0,1
ENSMUSG00000056032,0,4
ENSMUSG00000056035,0,0
ENSMUSG00000056043,4,10
ENSMUSG00000056050,6351,5393
ENSMUSG00000056054,538,45
ENSMUSG00000056055,4,35
ENSMUSG00000056061,0,0
ENSMUSG00000056069,6310,4607
ENSMUSG00000056071,6,2
ENSMUSG00000056073,2,0
ENSMUSG00000056076,9127,9500
ENSMUSG00000056078,4,2
ENSMUSG00000056091,6056,3360
ENSMUSG00000056115,0,0
ENSMUSG00000056116,10417,6750
ENSMUSG00000056121,2175,1346
ENSMUSG00000056124,9092,10650
ENSMUSG00000056128,0,2
ENSMUSG00000056130,3175,579
ENSMUSG00000056131,581,288
ENSMUSG00000056133,0,0
ENSMUSG00000056144,2812,1008
ENSMUSG00000056145,899,682
ENSMUSG00000056148,0,0
ENSMUSG00000056153,2518,4600
ENSMUSG00000056155,0,1
ENSMUSG00000056158,0,0
ENSMUSG00000056167,1553,1176
ENSMUSG00000056174,0,7
ENSMUSG00000056185,639,742
ENSMUSG00000056197,0,0
ENSMUSG00000056201,66614,38414
ENSMUSG00000056203,0,2
ENSMUSG00000056204,1909,1733
ENSMUSG00000056209,395,218
ENSMUSG00000056211,4475,2334
ENSMUSG00000056214,15,22
ENSMUSG00000056215,43,5
ENSMUSG00000056216,3200,2883
ENSMUSG00000056219,4,2
ENSMUSG00000056220,1151,2175
ENSMUSG00000056222,0,0
ENSMUSG00000056223,0,0
ENSMUSG00000056228,691,469
ENSMUSG00000056234,12181,7420
ENSMUSG00000056257,0,1
ENSMUSG00000056258,2,2
ENSMUSG00000056260,1542,1434
ENSMUSG00000056267,672,534
ENSMUSG00000056268,3176,1847
ENSMUSG00000056270,0,0
ENSMUSG00000056271,2,4
ENSMUSG00000056288,0,0
ENSMUSG00000056290,95,43
ENSMUSG00000056296,0,2
ENSMUSG00000056300,8,2
ENSMUSG00000056305,2013,1455
ENSMUSG00000056306,0,0
ENSMUSG00000056310,1394,1157
ENSMUSG00000056313,0,16
ENSMUSG00000056316,0,0
ENSMUSG00000056328,2,0
ENSMUSG00000056329,0,0
ENSMUSG00000056342,5614,3906
ENSMUSG00000056359,2,3
ENSMUSG00000056366,34,0
ENSMUSG00000056367,22,6
ENSMUSG00000056370,0,0
ENSMUSG00000056379,0,0
ENSMUSG00000056380,0,1
ENSMUSG00000056383,1815,1259
ENSMUSG00000056394,836,690
ENSMUSG00000056399,2,4
ENSMUSG00000056411,3,4
ENSMUSG00000056412,86,45
ENSMUSG00000056413,4218,2570
ENSMUSG00000056418,89,118
ENSMUSG00000056426,0,0
ENSMUSG00000056427,4,34
ENSMUSG00000056429,12227,15360
ENSMUSG00000056436,2,0
ENSMUSG00000056445,1,6
ENSMUSG00000056457,0,0
ENSMUSG00000056458,75,108
ENSMUSG00000056459,221,170
ENSMUSG00000056468,0,2
ENSMUSG00000056476,100,45
ENSMUSG00000056481,2,48
ENSMUSG00000056486,0,4
ENSMUSG00000056487,2,5
ENSMUSG00000056492,10,180
ENSMUSG00000056493,2638,1978
ENSMUSG00000056494,0,0
ENSMUSG00000056498,3031,1868
ENSMUSG00000056501,1756,3057
ENSMUSG00000056508,35,11
ENSMUSG00000056509,0,0
ENSMUSG00000056515,10483,10096
ENSMUSG00000056529,12901,8892
ENSMUSG00000056531,30,27
ENSMUSG00000056536,2918,2618
ENSMUSG00000056537,5759,4989
ENSMUSG00000056544,0,0
ENSMUSG00000056553,6,2
ENSMUSG00000056564,0,0
ENSMUSG00000056569,12,12
ENSMUSG00000056579,495,434
ENSMUSG00000056586,0,0
ENSMUSG00000056592,284,99
ENSMUSG00000056596,42,16
ENSMUSG00000056598,14,5
ENSMUSG00000056602,972,110
ENSMUSG00000056608,4245,2607
ENSMUSG00000056612,839,1341
ENSMUSG00000056617,0,0
ENSMUSG00000056629,4427,761
ENSMUSG00000056643,0,0
ENSMUSG00000056648,0,0
ENSMUSG00000056656,0,2
ENSMUSG00000056665,259,113
ENSMUSG00000056666,1289,1299
ENSMUSG00000056671,74,54
ENSMUSG00000056673,0,1910
ENSMUSG00000056687,174,156
ENSMUSG00000056692,10835,5284
ENSMUSG00000056696,0,0
ENSMUSG00000056698,729,468
ENSMUSG00000056699,0,0
ENSMUSG00000056708,4078,8022
ENSMUSG00000056716,0,0
ENSMUSG00000056718,38,18
ENSMUSG00000056724,8477,4300
ENSMUSG00000056728,0,0
ENSMUSG00000056735,156,104
ENSMUSG00000056737,49037,44078
ENSMUSG00000056738,0,0
ENSMUSG00000056749,361,238
ENSMUSG00000056752,0,8
ENSMUSG00000056753,39,45
ENSMUSG00000056755,0,0
ENSMUSG00000056758,1613,2503
ENSMUSG00000056763,1367,874
ENSMUSG00000056770,7126,3409
ENSMUSG00000056771,40,13
ENSMUSG00000056772,8,10
ENSMUSG00000056777,0,0
ENSMUSG00000056782,0,0
ENSMUSG00000056797,0,0
ENSMUSG00000056820,2706,2136
ENSMUSG00000056821,0,2
ENSMUSG00000056822,0,0
ENSMUSG00000056824,0,0
ENSMUSG00000056832,128,130
ENSMUSG00000056836,128,18
ENSMUSG00000056851,7230,6509
ENSMUSG00000056853,0,0
ENSMUSG00000056854,0,2
ENSMUSG00000056856,0,0
ENSMUSG00000056863,0,0
ENSMUSG00000056870,4,12
ENSMUSG00000056877,0,0
ENSMUSG00000056880,0,0
ENSMUSG00000056883,0,0
ENSMUSG00000056885,0,0
ENSMUSG00000056888,26240,11342
ENSMUSG00000056895,2,10
ENSMUSG00000056899,54,10
ENSMUSG00000056900,0,3
ENSMUSG00000056901,0,0
ENSMUSG00000056904,71,3
ENSMUSG00000056912,0,0
ENSMUSG00000056917,5619,3002
ENSMUSG00000056919,1985,1094
ENSMUSG00000056921,0,0
ENSMUSG00000056926,0,0
ENSMUSG00000056938,278,205
ENSMUSG00000056941,2302,1957
ENSMUSG00000056943,10,2
ENSMUSG00000056946,0,0
ENSMUSG00000056947,2,0
ENSMUSG00000056952,3740,3822
ENSMUSG00000056959,0,0
ENSMUSG00000056961,0,0
ENSMUSG00000056962,856,649
ENSMUSG00000056966,0,0
ENSMUSG00000056972,0,0
ENSMUSG00000056973,26,0
ENSMUSG00000056978,0,0
ENSMUSG00000056987,2,0
ENSMUSG00000056995,0,0
ENSMUSG00000056999,5265,5160
ENSMUSG00000057003,0,0
ENSMUSG00000057021,0,0
ENSMUSG00000057036,1060,278
ENSMUSG00000057037,0,0
ENSMUSG00000057047,0,0
ENSMUSG00000057050,0,0
ENSMUSG00000057054,87,73
ENSMUSG00000057058,2,2
ENSMUSG00000057060,0,0
ENSMUSG00000057067,0,0
ENSMUSG00000057068,0,0
ENSMUSG00000057069,4256,2619
ENSMUSG00000057072,22,7
ENSMUSG00000057074,0,0
ENSMUSG00000057092,0,0
ENSMUSG00000057093,42,64
ENSMUSG00000057098,4,76
ENSMUSG00000057101,1351,1093
ENSMUSG00000057103,98,65
ENSMUSG00000057110,4384,2441
ENSMUSG00000057113,21176,13134
ENSMUSG00000057116,0,0
ENSMUSG00000057123,0,4
ENSMUSG00000057130,428,353
ENSMUSG00000057132,110,90
ENSMUSG00000057133,2741,1988
ENSMUSG00000057134,1806,1573
ENSMUSG00000057135,2,43
ENSMUSG00000057137,843,449
ENSMUSG00000057143,4144,1448
ENSMUSG00000057147,1063,712
ENSMUSG00000057149,0,0
ENSMUSG00000057156,416,347
ENSMUSG00000057157,2,0
ENSMUSG00000057160,52,13
ENSMUSG00000057163,0,4
ENSMUSG00000057170,0,0
ENSMUSG00000057173,0,3
ENSMUSG00000057176,148,135
ENSMUSG00000057177,2226,1964
ENSMUSG00000057179,0,0
ENSMUSG00000057181,1319,1120
ENSMUSG00000057182,0,0
ENSMUSG00000057191,4570,3928
ENSMUSG00000057193,3541,2600
ENSMUSG00000057195,0,0
ENSMUSG00000057207,0,0
ENSMUSG00000057215,0,0
ENSMUSG00000057216,0,0
ENSMUSG00000057219,1765,1281
ENSMUSG00000057223,0,0
ENSMUSG00000057228,0,0
ENSMUSG00000057229,783,522
ENSMUSG00000057230,4685,3243
ENSMUSG00000057234,174,75
ENSMUSG00000057236,5437,5749
ENSMUSG00000057244,12,4
ENSMUSG00000057246,11,10
ENSMUSG00000057262,8,7
ENSMUSG00000057265,42,18
ENSMUSG00000057278,415,475
ENSMUSG00000057280,0,2
ENSMUSG00000057286,0,11
ENSMUSG00000057290,0,0
ENSMUSG00000057315,2179,456
ENSMUSG00000057321,0,0
ENSMUSG00000057322,5654,2213
ENSMUSG00000057329,139,255
ENSMUSG00000057335,8076,3914
ENSMUSG00000057337,185,72
ENSMUSG00000057342,4134,2724
ENSMUSG00000057346,45,14
ENSMUSG00000057349,0,0
ENSMUSG00000057359,26,31
ENSMUSG00000057363,1383,1153
ENSMUSG00000057367,1524,1399
ENSMUSG00000057370,0,0
ENSMUSG00000057375,2514,1353
ENSMUSG00000057378,7,9
ENSMUSG00000057381,0,0
ENSMUSG00000057388,1410,1116
ENSMUSG00000057396,607,362
ENSMUSG00000057400,0,0
ENSMUSG00000057406,2439,2175
ENSMUSG00000057409,1195,888
ENSMUSG00000057411,831,827
ENSMUSG00000057421,1017,1094
ENSMUSG00000057424,0,0
ENSMUSG00000057425,0,0
ENSMUSG00000057440,579,378
ENSMUSG00000057444,0,0
ENSMUSG00000057446,0,0
ENSMUSG00000057447,0,0
ENSMUSG00000057454,0,3
ENSMUSG00000057457,4,0
ENSMUSG00000057461,0,0
ENSMUSG00000057464,0,0
ENSMUSG00000057465,2,0
ENSMUSG00000057469,1073,646
ENSMUSG00000057497,882,910
ENSMUSG00000057499,0,10
ENSMUSG00000057506,1041,1320
ENSMUSG00000057513,0,0
ENSMUSG00000057522,8251,3588
ENSMUSG00000057530,1644,1821
ENSMUSG00000057531,5706,3589
ENSMUSG00000057534,0,0
ENSMUSG00000057540,0,0
ENSMUSG00000057541,845,711
ENSMUSG00000057551,1454,1202
ENSMUSG00000057554,13616,6852
ENSMUSG00000057561,7067,5202
ENSMUSG00000057564,0,0
ENSMUSG00000057572,1216,1048
ENSMUSG00000057592,0,0
ENSMUSG00000057594,389,340
ENSMUSG00000057596,5168,1178
ENSMUSG00000057604,4,84
ENSMUSG00000057605,50,64
ENSMUSG00000057606,0,0
ENSMUSG00000057609,0,0
ENSMUSG00000057614,4,22
ENSMUSG00000057637,3637,2844
ENSMUSG00000057649,1298,666
ENSMUSG00000057654,0,0
ENSMUSG00000057657,42,40
ENSMUSG00000057666,78260,37044
ENSMUSG00000057667,662,495
ENSMUSG00000057672,8903,6319
ENSMUSG00000057674,0,0
ENSMUSG00000057685,0,0
ENSMUSG00000057691,1235,1155
ENSMUSG00000057696,238,58
ENSMUSG00000057697,0,0
ENSMUSG00000057699,0,0
ENSMUSG00000057706,60,159
ENSMUSG00000057710,0,0
ENSMUSG00000057715,0,0
ENSMUSG00000057716,0,0
ENSMUSG00000057722,4,8
ENSMUSG00000057723,0,0
ENSMUSG00000057726,0,0
ENSMUSG00000057729,4,4
ENSMUSG00000057735,0,0
ENSMUSG00000057738,23766,14230
ENSMUSG00000057751,0,8
ENSMUSG00000057754,0,0
ENSMUSG00000057761,0,0
ENSMUSG00000057762,116,82
ENSMUSG00000057766,8,11
ENSMUSG00000057770,0,0
ENSMUSG00000057777,2,13
ENSMUSG00000057778,504,475
ENSMUSG00000057788,886,887
ENSMUSG00000057789,5692,3015
ENSMUSG00000057816,4,0
ENSMUSG00000057817,2,5
ENSMUSG00000057818,0,0
ENSMUSG00000057829,30,14
ENSMUSG00000057835,221,286
ENSMUSG00000057836,18,0
ENSMUSG00000057841,22408,10786
ENSMUSG00000057842,635,415
ENSMUSG00000057858,634,535
ENSMUSG00000057863,2637,2995
ENSMUSG00000057880,6,10
ENSMUSG00000057886,1,0
ENSMUSG00000057890,0,0
ENSMUSG00000057894,1229,753
ENSMUSG00000057895,148,161
ENSMUSG00000057897,140,18
ENSMUSG00000057899,0,0
ENSMUSG00000057903,0,0
ENSMUSG00000057913,2,0
ENSMUSG00000057914,3,10
ENSMUSG00000057933,0,4
ENSMUSG00000057945,0,0
ENSMUSG00000057948,2514,1708
ENSMUSG00000057963,1452,506
ENSMUSG00000057967,2,0
ENSMUSG00000057969,0,3
ENSMUSG00000057977,0,0
ENSMUSG00000057981,0,0
ENSMUSG00000057982,1284,1045
ENSMUSG00000057990,20,10
ENSMUSG00000057997,0,0
ENSMUSG00000058005,0,0
ENSMUSG00000058006,3109,2706
ENSMUSG00000058013,1647,1242
ENSMUSG00000058014,0,0
ENSMUSG00000058017,0,0
ENSMUSG00000058019,0,0
ENSMUSG00000058022,2,0
ENSMUSG00000058028,0,0
ENSMUSG00000058046,653,192
ENSMUSG00000058050,44,8
ENSMUSG00000058052,0,0
ENSMUSG00000058056,316,1384
ENSMUSG00000058057,4,3
ENSMUSG00000058064,174,104
ENSMUSG00000058070,6,68
ENSMUSG00000058071,0,0
ENSMUSG00000058073,10,4
ENSMUSG00000058076,5362,5141
ENSMUSG00000058084,0,0
ENSMUSG00000058093,1480,1573
ENSMUSG00000058099,15850,7429
ENSMUSG00000058119,0,0
ENSMUSG00000058126,758,208
ENSMUSG00000058132,0,0
ENSMUSG00000058135,9570,10166
ENSMUSG00000058145,2,0
ENSMUSG00000058152,2,22
ENSMUSG00000058153,0,0
ENSMUSG00000058159,3,0
ENSMUSG00000058163,5313,850
ENSMUSG00000058173,24,86
ENSMUSG00000058174,0,0
ENSMUSG00000058183,0,4
ENSMUSG00000058186,1,0
ENSMUSG00000058188,0,0
ENSMUSG00000058192,604,351
ENSMUSG00000058194,0,0
ENSMUSG00000058200,0,0
ENSMUSG00000058207,0,0
ENSMUSG00000058216,0,6
ENSMUSG00000058230,1430,1991
ENSMUSG00000058239,3664,2551
ENSMUSG00000058240,1317,759
ENSMUSG00000058244,0,0
ENSMUSG00000058246,15,58
ENSMUSG00000058248,0,4
ENSMUSG00000058250,0,0
ENSMUSG00000058251,0,0
ENSMUSG00000058254,18,416
ENSMUSG00000058258,913,132
ENSMUSG00000058260,0,0
ENSMUSG00000058267,1044,1320
ENSMUSG00000058270,0,0
ENSMUSG00000058275,0,0
ENSMUSG00000058287,0,0
ENSMUSG00000058290,266,176
ENSMUSG00000058291,1486,985
ENSMUSG00000058295,0,0
ENSMUSG00000058297,0,4
ENSMUSG00000058298,828,871
ENSMUSG00000058301,4475,3222
ENSMUSG00000058317,450,245
ENSMUSG00000058318,2175,1241
ENSMUSG00000058325,2746,901
ENSMUSG00000058331,269,257
ENSMUSG00000058349,0,0
ENSMUSG00000058351,332,292
ENSMUSG00000058355,6205,4811
ENSMUSG00000058385,82,475
ENSMUSG00000058388,1054,1084
ENSMUSG00000058392,763,492
ENSMUSG00000058396,29,4
ENSMUSG00000058398,0,0
ENSMUSG00000058400,0,0
ENSMUSG00000058402,334,259
ENSMUSG00000058407,4106,3175
ENSMUSG00000058420,0,7
ENSMUSG00000058427,191,167
ENSMUSG00000058440,917,500
ENSMUSG00000058441,0,2
ENSMUSG00000058443,12,68
ENSMUSG00000058444,1499,978
ENSMUSG00000058446,4671,4519
ENSMUSG00000058447,0,0
ENSMUSG00000058454,1868,529
ENSMUSG00000058463,0,0
ENSMUSG00000058470,71,22
ENSMUSG00000058486,10045,7152
ENSMUSG00000058488,0,0
ENSMUSG00000058491,0,0
ENSMUSG00000058492,0,0
ENSMUSG00000058498,2,4
ENSMUSG00000058499,0,0
ENSMUSG00000058503,987,562
ENSMUSG00000058513,0,0
ENSMUSG00000058515,0,0
ENSMUSG00000058523,0,0
ENSMUSG00000058537,0,0
ENSMUSG00000058546,9101,5365
ENSMUSG00000058558,18721,17000
ENSMUSG00000058568,0,0
ENSMUSG00000058569,5779,4270
ENSMUSG00000058571,5,44
ENSMUSG00000058579,0,0
ENSMUSG00000058581,98,22
ENSMUSG00000058586,516,217
ENSMUSG00000058587,9395,6458
ENSMUSG00000058589,0,5
ENSMUSG00000058590,0,0
ENSMUSG00000058594,4836,2640
ENSMUSG00000058600,6458,5384
ENSMUSG00000058603,188,106
ENSMUSG00000058613,1,0
ENSMUSG00000058618,0,0
ENSMUSG00000058620,2,0
ENSMUSG00000058622,0,0
ENSMUSG00000058624,1706,884
ENSMUSG00000058626,0,39
ENSMUSG00000058628,0,0
ENSMUSG00000058631,0,0
ENSMUSG00000058638,1849,1870
ENSMUSG00000058643,0,0
ENSMUSG00000058655,12414,10139
ENSMUSG00000058656,18,14
ENSMUSG00000058659,0,0
ENSMUSG00000058662,0,0
ENSMUSG00000058665,0,0
ENSMUSG00000058669,0,0
ENSMUSG00000058672,5298,1106
ENSMUSG00000058685,0,0
ENSMUSG00000058690,2205,1563
ENSMUSG00000058692,0,0
ENSMUSG00000058700,14,0
ENSMUSG00000058704,1403,1789
ENSMUSG00000058706,2796,1604
ENSMUSG00000058709,2186,1449
ENSMUSG00000058715,94318,18722
ENSMUSG00000058717,0,0
ENSMUSG00000058725,0,0
ENSMUSG00000058728,10,92
ENSMUSG00000058729,825,635
ENSMUSG00000058740,0,0
ENSMUSG00000058741,2,0
ENSMUSG00000058743,0,0
ENSMUSG00000058745,8,0
ENSMUSG00000058748,574,857
ENSMUSG00000058755,242,298
ENSMUSG00000058756,685,463
ENSMUSG00000058761,2699,3089
ENSMUSG00000058773,0,15
ENSMUSG00000058793,12923,10098
ENSMUSG00000058794,32,49
ENSMUSG00000058799,10619,9372
ENSMUSG00000058806,0,0
ENSMUSG00000058807,0,0
ENSMUSG00000058809,208,49
ENSMUSG00000058812,11,4
ENSMUSG00000058816,2,1
ENSMUSG00000058818,69277,10437
ENSMUSG00000058820,0,0
ENSMUSG00000058831,2,2
ENSMUSG00000058833,1366,881
ENSMUSG00000058835,13123,7534
ENSMUSG00000058838,46,50
ENSMUSG00000058856,0,0
ENSMUSG00000058869,2,0
ENSMUSG00000058873,4,4
ENSMUSG00000058881,2989,1758
ENSMUSG00000058883,0,0
ENSMUSG00000058884,0,0
ENSMUSG00000058886,862,697
ENSMUSG00000058897,0,0
ENSMUSG00000058900,1007,658
ENSMUSG00000058904,0,0
ENSMUSG00000058905,10,36
ENSMUSG00000058908,0,0
ENSMUSG00000058914,0,1
ENSMUSG00000058921,2,0
ENSMUSG00000058922,379,136
ENSMUSG00000058925,0,0
ENSMUSG00000058927,146,26
ENSMUSG00000058933,0,0
ENSMUSG00000058934,42,27
ENSMUSG00000058935,0,4
ENSMUSG00000058952,0,0
ENSMUSG00000058966,10,0
ENSMUSG00000058975,0,2
ENSMUSG00000058976,0,0
ENSMUSG00000058979,445,351
ENSMUSG00000058981,0,0
ENSMUSG00000058997,3723,2837
ENSMUSG00000059003,0,0
ENSMUSG00000059005,19710,13068
ENSMUSG00000059013,2075,1252
ENSMUSG00000059014,0,0
ENSMUSG00000059022,4,4
ENSMUSG00000059023,0,0
ENSMUSG00000059027,4,2
ENSMUSG00000059031,10,0
ENSMUSG00000059033,6,16
ENSMUSG00000059040,2,6
ENSMUSG00000059042,0,0
ENSMUSG00000059049,0,0
ENSMUSG00000059058,135,30
ENSMUSG00000059060,47,22
ENSMUSG00000059064,24,8
ENSMUSG00000059069,0,0
ENSMUSG00000059070,8826,9024
ENSMUSG00000059077,0,0
ENSMUSG00000059087,0,0
ENSMUSG00000059089,3656,5422
ENSMUSG00000059106,0,0
ENSMUSG00000059108,793,290
ENSMUSG00000059112,0,0
ENSMUSG00000059114,0,0
ENSMUSG00000059119,4259,3315
ENSMUSG00000059128,0,0
ENSMUSG00000059134,7,6
ENSMUSG00000059136,0,0
ENSMUSG00000059142,815,580
ENSMUSG00000059146,10,0
ENSMUSG00000059149,827,579
ENSMUSG00000059159,17,8
ENSMUSG00000059169,0,0
ENSMUSG00000059173,0,10
ENSMUSG00000059179,20,7
ENSMUSG00000059182,11628,7375
ENSMUSG00000059183,583,550
ENSMUSG00000059187,0,2
ENSMUSG00000059189,0,0
ENSMUSG00000059195,0,0
ENSMUSG00000059201,0,0
ENSMUSG00000059205,0,0
ENSMUSG00000059206,0,0
ENSMUSG00000059208,11951,6128
ENSMUSG00000059213,0,3
ENSMUSG00000059218,0,0
ENSMUSG00000059229,0,0
ENSMUSG00000059230,0,0
ENSMUSG00000059237,0,0
ENSMUSG00000059244,0,0
ENSMUSG00000059246,0,0
ENSMUSG00000059248,7061,5135
ENSMUSG00000059251,0,0
ENSMUSG00000059252,130,132
ENSMUSG00000059256,0,14
ENSMUSG00000059263,6392,5368
ENSMUSG00000059273,3164,3003
ENSMUSG00000059277,13,23
ENSMUSG00000059278,722,356
ENSMUSG00000059279,0,0
ENSMUSG00000059288,650,865
ENSMUSG00000059291,16923,13817
ENSMUSG00000059301,8,2
ENSMUSG00000059303,0,0
ENSMUSG00000059316,2007,1710
ENSMUSG00000059319,0,0
ENSMUSG00000059323,374,186
ENSMUSG00000059325,22,23
ENSMUSG00000059326,12922,5325
ENSMUSG00000059327,10,4
ENSMUSG00000059334,0,0
ENSMUSG00000059336,0,31
ENSMUSG00000059343,14,26
ENSMUSG00000059352,0,0
ENSMUSG00000059355,1300,969
ENSMUSG00000059361,0,0
ENSMUSG00000059363,123,79
ENSMUSG00000059366,0,0
ENSMUSG00000059371,0,0
ENSMUSG00000059375,0,0
ENSMUSG00000059379,0,0
ENSMUSG00000059382,0,0
ENSMUSG00000059383,0,0
ENSMUSG00000059395,8,16
ENSMUSG00000059397,0,0
ENSMUSG00000059401,198,149
ENSMUSG00000059406,1,4
ENSMUSG00000059409,2673,2081
ENSMUSG00000059410,0,0
ENSMUSG00000059411,0,0
ENSMUSG00000059412,1682,286
ENSMUSG00000059422,41,23
ENSMUSG00000059423,918,802
ENSMUSG00000059429,0,0
ENSMUSG00000059430,22,283
ENSMUSG00000059434,0,2
ENSMUSG00000059436,4902,3763
ENSMUSG00000059439,1532,879
ENSMUSG00000059447,2762,2517
ENSMUSG00000059456,18869,10492
ENSMUSG00000059461,90,56
ENSMUSG00000059463,0,0
ENSMUSG00000059473,0,0
ENSMUSG00000059474,1550,1289
ENSMUSG00000059475,1199,1008
ENSMUSG00000059479,2382,1159
ENSMUSG00000059482,776,501
ENSMUSG00000059483,2,0
ENSMUSG00000059486,2165,2784
ENSMUSG00000059488,0,0
ENSMUSG00000059493,0,20
ENSMUSG00000059495,2597,2475
ENSMUSG00000059498,16692,12166
ENSMUSG00000059503,0,0
ENSMUSG00000059504,0,0
ENSMUSG00000059518,2288,1100
ENSMUSG00000059534,259,337
ENSMUSG00000059540,108,130
ENSMUSG00000059547,0,0
ENSMUSG00000059552,2227,1938
ENSMUSG00000059554,706,362
ENSMUSG00000059555,4387,2867
ENSMUSG00000059562,3,16
ENSMUSG00000059565,0,0
ENSMUSG00000059571,0,0
ENSMUSG00000059585,10,2
ENSMUSG00000059586,1316,836
ENSMUSG00000059588,2345,1913
ENSMUSG00000059595,0,0
ENSMUSG00000059602,12,4
ENSMUSG00000059606,6,2
ENSMUSG00000059610,0,0
ENSMUSG00000059623,0,0
ENSMUSG00000059625,0,0
ENSMUSG00000059631,0,0
ENSMUSG00000059639,37,15
ENSMUSG00000059645,0,0
ENSMUSG00000059647,12,2
ENSMUSG00000059648,0,0
ENSMUSG00000059654,0,0
ENSMUSG00000059658,0,0
ENSMUSG00000059659,43,12
ENSMUSG00000059669,659,545
ENSMUSG00000059674,16,9
ENSMUSG00000059687,0,0
ENSMUSG00000059689,521,384
ENSMUSG00000059695,0,0
ENSMUSG00000059706,0,0
ENSMUSG00000059708,449,477
ENSMUSG00000059713,2057,1042
ENSMUSG00000059714,2195,1755
ENSMUSG00000059729,0,0
ENSMUSG00000059734,1239,467
ENSMUSG00000059741,0,2
ENSMUSG00000059742,156,52
ENSMUSG00000059743,2613,643
ENSMUSG00000059751,132,78
ENSMUSG00000059762,0,0
ENSMUSG00000059763,0,0
ENSMUSG00000059768,0,0
ENSMUSG00000059772,445,268
ENSMUSG00000059775,0,0
ENSMUSG00000059776,44,4
ENSMUSG00000059791,8,7
ENSMUSG00000059796,12846,13762
ENSMUSG00000059810,574,177
ENSMUSG00000059811,1467,1849
ENSMUSG00000059816,2,0
ENSMUSG00000059820,1401,1246
ENSMUSG00000059821,0,0
ENSMUSG00000059824,549,714
ENSMUSG00000059827,0,0
